Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
imageJ cluster import ERT depth 0 to -5 cm,6,12641.120,2106.853,63.588,2.580,122.601,42.622,468.333,181.500,116.572,19.922
imageJ cluster import ERT depth -5 to -10 cm,5,12759.400,2551.880,64.183,2.639,165.417,54.846,393.000,260.200,117.194,23.937
imageJ cluster import ERT depth -10 to -15 cm,2,12843.400,6421.700,64.606,2.955,430.133,112.428,47.500,32.000,144.691,50.381
imageJ cluster import ERT depth -15 to -20 cm,1,12687.200,12687.200,63.820,3.922,739.822,221.219,4.000,5.000,154.338,98.773
imageJ cluster import ERT depth -20 to -25 cm,9,12195.640,1355.071,61.347,2.106,102.764,29.645,618.111,202.778,140.926,12.489
imageJ cluster import ERT depth -25 to -30 cm,10,11138.440,1113.844,56.029,2.308,81.612,24.748,391.100,194.700,71.338,12.388
imageJ cluster import ERT depth -30 to -35 cm,11,10244.320,931.302,51.532,2.284,70.509,21.358,204.909,103.545,102.556,10.425
imageJ cluster import ERT depth -35 to -40 cm,6,9696.840,1616.140,48.778,2.395,124.285,33.593,667.167,31.333,116.041,18.715
imageJ cluster import ERT depth -40 to -45 cm,11,8939.800,812.709,44.970,2.107,73.398,20.767,723.182,181.364,119.784,10.848
imageJ cluster import ERT depth -45 to -50 cm,12,7001.800,583.483,35.221,2.315,57.111,18.889,704.417,313.167,85.525,8.516
imageJ cluster import ERT depth -50 to -55 cm,7,6088.800,869.829,30.628,2.297,85.081,28.044,608.714,168.857,105.427,11.934
imageJ cluster import ERT depth -55 to -60 cm,7,4516.560,645.223,22.719,2.405,101.928,28.065,549.857,100.143,111.859,12.433
imageJ cluster import ERT depth -60 to -65 cm,8,3145.320,393.165,15.822,2.416,46.355,16.288,607.250,72.500,133.135,9.576
imageJ cluster import ERT depth -65 to -70 cm,1,2660.320,2660.320,13.382,3.827,306.741,93.128,658.000,1.000,137.263,57.189
imageJ cluster import ERT depth -70 to -75 cm,4,2057.280,514.320,10.349,2.450,92.988,26.022,741.500,75.000,109.354,17.157
imageJ cluster import ERT depth -75 to -80 cm,5,1363.000,272.600,6.856,2.251,43.020,14.324,863.000,36.200,114.715,6.956
imageJ cluster import ERT depth -80 to -85 cm,1,1151.040,1151.040,5.790,3.744,199.405,63.352,910.000,1.000,106.318,26.400
imageJ cluster import ERT depth -85 to -90 cm,2,897.920,448.960,4.517,2.793,84.903,30.380,992.000,14.000,115.384,11.724
imageJ cluster import ERT depth -90 to -95 cm,1,687.080,687.080,3.456,3.588,173.663,64.211,995.000,15.000,91.071,18.000
imageJ cluster import ERT depth -95 to -100 cm,1,424.000,424.000,2.133,3.452,132.221,48.094,984.000,39.000,93.576,17.000
imageJ cluster import ERT depth -100 to -105 cm,2,181.120,90.560,0.911,2.537,58.217,19.028,977.000,110.000,117.934,6.818
imageJ cluster import ERT depth -105 to -110 cm,1,52.760,52.760,0.265,2.036,105.148,51.000,1000.000,46.000,90.225,3.800
imageJ cluster import ERT depth -110 to -115 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import ERT depth -115 to -120 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import ERT depth -120 to -125 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import ERT depth -125 to -130 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import ERT depth -130 to -135 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import ERT depth -135 to -140 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import ERT depth -140 to -145 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import ERT depth -145 to -150 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import ERT depth -150 to -155 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
imageJ cluster import ERT depth -155 to -160 cm,0,0.000,NaN,0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
