"x","y","z"
196,80,10
81,35,32.5
63,27,32.5
46,10,32.5
127,64,32.5
171,84,32.5
177,74,52.5
138,58,52.5
186,60,72.5
70,58,72.5
53,17,72.5
170,73,10
105,34,82.5
142,84,10
116,73,10
86,21,10
148,79,22.5
52,23,22.5
32,1,22.5
103,25,32.5
104,48,52.5
141,57,72.5
39,45,72.5
34,17,10
118,59,32.5
72,70,32.5
44,80,10
37,53,32.5
156,19,72.5
46,81,22.5
122,34,52.5
145,86,72.5
127,31,22.5
130,24,10
111,32,32.5
100,79,32.5
34,54,22.5
75,43,52.5
73,83,10
72,52,10
102,84,52.5
169,66,52.5
58,13,32.5
124,77,72.5
180,42,22.5
72,32,32.5
174,13,22.5
160,35,52.5
64,27,22.5
161,17,32.5
76,14,10
90,42,32.5
130,19,32.5
160,72,32.5
155,13,10
112,57,10
161,42,32.5
80,31,52.5
169,65,22.5
57,18,52.5
144,16,52.5
160,16,10
67,56,72.5
103,27,72.5
51,67,52.5
49,83,52.5
115,51,22.5
152,12,52.5
121,84,82.5
57,38,72.5
163,56,72.5
42,5,22.5
186,11,10
148,79,22.5
93,19,72.5
126,43,52.5
173,62,72.5
28,57,10
105,52,22.5
131,50,10
140,76,22.5
78,66,22.5
41,76,32.5
27,227,7.5
110,235,22.5
105,260,42.5
100,275,60
146,240,22.5
160,255,42.5
135,270,60
140,275,7.5
20,250,42.5
105,275,7.5
20,245,60
75,240,22.5
90,250,35
50,245,67
140,245,92.5
50,250,92.5
37,224,35
86,218,35
100,250,7.5
55,265,7.5
140,277,22.5
140,220,60.5
184,222,42.5
55,263,22.5
93,253,42.5
135,230,92.5
35,265,42.5
100,250,22.5
86,227,32
55,265,60.5
135,268,80
130,273,7.5
35,265,60.5
130,277,22.5
160,220,60.5
37,236,32
55,265,42.5
130,223,7.5
35,237,4.8
40,237,34.8
24,239,54.8
61,238,19.8
119,232,21.5
142,233,21.5
154,245,39.8
149,276,6.5
112,274,6.5
